SURFACE_ID,ROLE,APP,NAV_ID,LABEL,SOURCE_ANCHOR,PATTERN_BASIS,CURRENT_DESIGN_CLASS,FIGMA_AUTHORITY,STATE_COVERAGE,RESPONSIVE_COVERAGE,BASELINE_STATUS,OWNER,NOTES
TCH-11,Teacher,teacher,teacher-validation,验证会话,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-12,Teacher,teacher,teacher-close-cleanup,收尾与清理,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
STU-01,Student,student,student-role-mission,角色任务,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-02,Student,student,student-cockpit,经营驾驶舱,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-03,Student,student,student-evidence,信息与证据,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-04,Student,student,student-enterprise-state,企业状态与战略演进,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-05,Student,student,student-private-draft,个人草稿,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-06,Student,student,student-collaboration,团队协作,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe information hierarchy requires later design binding.
STU-07,Student,student,student-divergence,分歧冲突,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Recovery grammar requires later design binding.
STU-08,Student,student,student-confirmation,团队确认,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe mutation boundaries require later design binding.
STU-09,Student,student,student-submission,最终提交,apps/student/src/App.tsx;apps/student/src/StudentDecisionDesktop.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Role-safe mutation boundaries require later design binding.
STU-10,Student,student,student-results,结果与因果链,apps/student/src/App.tsx;apps/student/src/StudentDecisionDesktop.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Student projection must not expose privileged truth.
STU-11,Student,student,student-debrief,复盘,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Descriptive reflection needs role-safe design evidence.
STU-12,Student,student,student-learning-report,学习报告,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Student projection must not expose privileged provenance.
STU-13,Student,student,student-learning-path,学习路径,apps/student/src/App.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Student App owner,Learning continuity needs later responsive and state mapping.
ADM-01,Admin,admin,admin-delivery-overview,交付总览,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Read-only/audit hierarchy needs current design authority.
ADM-02,Admin,admin,admin-tenants-entitlements,租户与权益,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Read-only/audit hierarchy needs current design authority.
ADM-03,Admin,admin,admin-users-roles,用户、角色与范围,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Read-only/audit hierarchy needs current design authority.
ADM-04,Admin,admin,admin-assets,课程、场景与模型资产,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Technical provenance must remain subordinate to business task.
ADM-05,Admin,admin,admin-enterprise-course-factory,企业课程工厂与 Sponsor 投影,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Read-only/audit hierarchy needs current design authority.
ADM-06,Admin,admin,admin-model-qualification-portfolio,模型资格课程组合,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Model governance evidence needs state and recovery mapping.
ADM-07,Admin,admin,admin-security-projection,权限与安全投影,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Permission/visibility states need current design authority.
ADM-08,Admin,admin,admin-audit-receipts,审计与回执,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Receipts need cross-role state grammar.
ADM-09,Admin,admin,admin-runtime-support,运行与支持,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Recovery and known-limit semantics need current design authority.
ADM-10,Admin,admin,admin-known-limits,已知限制与信任边界,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Known limits must not masquerade as product capability.
ADM-11,Admin,admin,admin-environment-recovery,环境启动与恢复,apps/admin/src/App.tsx;apps/admin/src/AdminDeliveryTrustWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Admin App owner,Recovery states are high-risk and need explicit visual binding.
