inventory_id,workspace,app,browser_path,render_mode,ui_surface,current_source_refs,bff_or_runtime_paths,primary_task,authority_source,observed_state_evidence,coverage_status,notes
TCH-LIMITS,Teacher Course OS,teacher,/,authenticated section,已知限制与内部使用说明,apps/teacher/src/App.tsx,GET /api/v1/bff/teacher/... projections,显示 runtime、synthetic、JSON-only、human validation 等限制,Known Limits projection,authenticated; disclosure observed,observed,所有下游页面复用同一边界组件
TCH-CLOSURE,Teacher Course OS,teacher,/,authenticated workbench,W019 Teaching Closure Workspace,apps/teacher/src/TeachingClosureWorkspace.tsx; apps/teacher/src/teaching-closure-client.ts,/api/v1/bff/teacher/teaching-closure,关联教学 context、evidence、claim、student-safe outcome、report,dedicated Teacher BFF,authenticated; not loaded/empty observed,partial,必须保持 teacher-only evidence 与 student-safe outcome 分离
TCH-EVIDENCE,Teacher Course OS,teacher,/,authenticated workbench,D2 Evidence Workbench,apps/teacher/src/EvidenceWorkbench.tsx,/api/v1/bff/teacher/learning-designs; /evidence; /evidence-artifacts/capture,捕获合资格 role/activity evidence 并保存 provenance,Teacher-only BFF command,authenticated; stale/capture boundary observed,partial,D2 不提供 Student route 或原始全量事件
TCH-CONFIRM,Teacher Course OS,teacher,/,authenticated workbench,D3 Teacher Confirmation Workbench,apps/teacher/src/TeacherConfirmationWorkbench.tsx; apps/teacher/src/teacher-confirmation-client.ts,/api/v1/bff/teacher/confirmations...,确认或退回 teacher-only evidence,Teacher command + claim receipt,authenticated; STALE and exact refs observed,partial,确认不是给 Student 写入教师私有字段
TCH-D5,Teacher Course OS,teacher,/,authenticated workbench,D5 Evidence Export Workbench,apps/teacher/src/D5ExportWorkbench.tsx; apps/teacher/src/d5-export-client.ts,/api/v1/bff/teacher/learning-reports; /learning-exports...,生成 tenant-safe learning export,Teacher BFF + receipt,authenticated; empty report observed,observed,与 Admin 共享业务家族但不可复制 scope
TCH-REPORT,Teacher Course OS,teacher,/,authenticated workbench,Teacher Course Report Builder,apps/teacher/src/CourseReportBuilder.tsx; apps/teacher/src/course-report-client.ts,/api/v1/bff/teacher/course-reports,按课程/run/team/role/round/KPI 预览报告,Teacher BFF read-only projection,authenticated; form/empty observed,observed,结果字段由 server projection 提供
TCH-D6,Teacher Course OS,teacher,/,authenticated workbench,D6 Transfer Research Governance,apps/teacher/src/features/transfer-research-workbench.tsx; apps/teacher/src/features/transfer-research-client.ts,/api/v1/bff/teacher/transfer-research-designs...,设计 synthetic transfer research 并治理版本,Teacher BFF + known limits,authenticated; synthetic-only/empty observed,observed,不得暴露真实企业记录或因果 claim
TCH-D1,Teacher Course OS,teacher,/,authenticated workbench,D1 Learning Design entry point,apps/teacher/src/LearningDesignWorkbench.tsx,GET/POST /api/v1/bff/teacher/learning-designs; /learning-goals/drafts; /rubrics/drafts,设计学习目标、rubric 和版本,Teacher BFF versioned writer,authenticated; loading/empty paths in source,partial,发布后版本不可原位覆盖
TCH-PACKAGE,Teacher Course OS,teacher,/,authenticated workbench,Teacher CoursePackageVersion catalog,apps/teacher/src/App.tsx; apps/teacher/src/course-package-client.ts,/api/v1/bff/teacher/course-package-versions; /clone,读取和克隆 server-owned immutable package,Teacher BFF + clone receipt,authenticated; no package empty observed,partial,clone 只能创建新的 DRAFT
TCH-E4,Teacher Course OS,teacher,/,authenticated workbench,Fresh learner E4 admission readiness,apps/teacher/src/FreshLearnerAdmissionPanel.tsx,/api/v1/bff/teacher/fresh-learner-admission,检查 fresh learner roster/admission readiness,Teacher BFF read-only projection,authenticated; source supports loading/error/empty,partial,不把 readiness 伪装为真实教学效果
TCH-ROLE,Teacher Course OS,teacher,/,authenticated workbench,Role workflow monitor,apps/teacher/src/RoleWorkflowPanel.tsx,/api/v1/bff/teacher/role-workflows; /assignments; /reset,查看并管理 role assignment workflow,Teacher BFF commands,authenticated; assignment/reset flows in source,partial,不改变 canonical Decision/settlement truth
TCH-INTEL,Teacher Course OS,teacher,/,authenticated workbench,Instructor intelligence,apps/teacher/src/InstructorIntelligencePanel.tsx,/api/v1/bff/teacher/instructor-assets; /instructor-intelligence; /instructor-debrief-artifact,管理 teacher-only intelligence assets 和 debrief artifact,Teacher BFF + version receipt,authenticated; source supports draft/publish/reject/export,partial,AI/analytics 只能 advisory/evidence context
TCH-ADVISOR,Teacher Course OS,teacher,/,authenticated workbench,Teacher Debrief Advisor,apps/teacher/src/TeacherDebriefAdvisor.tsx,/api/v1/bff/teacher/advisors/debrief; /advisors/audit,请求并审计 teacher-only advisory output,advisory-only BFF,authenticated; advisor sections in source,partial,不进入正式 score/rank/settlement
TCH-BLUEPRINT,Teacher Course OS,teacher,/,authenticated workbench,Teacher Blueprint Studio,apps/teacher/src/scenario-readiness.ts,/api/v1/bff/teacher/course-blueprints; /readiness; /studio/preview; /studio/drafts; /studio/submissions,编排 course blueprint/scenario package candidate,Teacher BFF versioned draft,authenticated; readiness/preview/submission paths in source,partial,绑定后不得热替换
TCH-RUN,Teacher Course OS,teacher,/,authenticated section,M1 run status,apps/teacher/src/App.tsx,/api/v1/demo-state; /bff/teacher/runs/:runId/rounds/:roundNo/workspace,查看 course/run/team/round/decision/runtime/replay 状态,Teacher BFF DTO,initial; authenticated ready/not-created variants observed,observed,当前根页面仍包含旧 next-step flow
TCH-PACKAGE-SURFACE,Teacher Course OS,teacher,/,authenticated section,M1 teaching product package,apps/teacher/src/App.tsx,/api/v1/demo-state; /bff/teacher/course-package-versions,解释内部教学包和 JSON runtime 边界,Teacher BFF + Known Limits,initial/authenticated observed,observed,用于试讲入口，不等同 Pilot/Production
STU-LOGIN,Student Executive Environment,student,/,single-root login,学员登录,apps/student/src/App.tsx; apps/student/src/main.tsx,POST /api/v1/auth/login,认证 learner/team_captain 并加载 team scope,Auth API + session,initial 1440x1242; authenticated after demo login,observed,登录与驾驶舱同处单一 App
STU-GOLDEN,Student Executive Environment,student,/,authenticated workbench,My Golden Journey,apps/student/src/GoldenJourneyWorkbench.tsx,GET /api/v1/bff/student/golden-journey/status,查看公开 journey state、receipts、next actions,Student-safe BFF projection,authenticated; ready journey and D1/R7/M1/D4-D6 receipts observed,observed,private evidence explicitly hidden
STU-LIMITS,Student Executive Environment,student,/,authenticated section,已知限制与内部使用说明,apps/student/src/App.tsx,GET /api/v1/bff/student/... projections,理解 student-safe JSON runtime boundary,Known Limits projection,authenticated; disclosure observed,observed,不得显示 teacher/admin private data
STU-STATUS,Student Executive Environment,student,/,authenticated section,learner status,apps/student/src/App.tsx,/api/v1/demo-state; /bff/student/runs/:runId/rounds/:roundNo/cockpit,查看身份/课程/队伍/回合/决策/BFF 状态,StudentBffCockpitDTO,initial/authenticated draft/not-created observed,observed,状态由 BFF DTO 和 session 提供
STU-ROLE,Student Executive Environment,student,/,authenticated workbench,C3 Role Workflow,apps/student/src/StudentRoleWorkflowPanel.tsx,/api/v1/bff/student/role-workspace; /section; /ready; /merge; /confirm,填写角色草稿、ready、merge、团队确认,Student BFF command + role boundary,authenticated; waiting for assignment observed,partial,只写 role section，canonical Decision 仍需 merge+team confirmation
STU-ADVISOR,Student Executive Environment,student,/,authenticated workbench,W020 Student Role Advisor,apps/student/src/StudentRoleAdvisor.tsx,/api/v1/bff/student/advisors/role,请求当前 role scope 内的 advisory-only 建议,Student advisory BFF,authenticated; waiting state observed,partial,不显示原始事件或正式真值
STU-REPORT,Student Executive Environment,student,/,authenticated workbench,D4 Student Learning Report,apps/student/src/StudentLearningReport.tsx; apps/student/src/student-learning-report-client.ts,/api/v1/bff/student/learning-reports,查看教师确认后 student-visible 的安全学习投影,Student-safe read-only BFF,authenticated; empty observed,partial,教师 feedback 仅在明确 student-visible 时显示
STU-DECISION,Student Executive Environment,student,/,authenticated form,结构化决策,apps/student/src/App.tsx; apps/student/src/StudentRoleWorkflowPanel.tsx,GET cockpit; POST /api/v1/runs/:runId/rounds/:roundNo/decisions; role-workspace commands,Student DTO editable_fields + decision command,authenticated; draft form observed; submitting/committed not captured,partial,禁止直写 Store 或绕过 team confirmation
STU-ONBOARD,Student Executive Environment,student,/,authenticated section,M1 learner onboarding,apps/student/src/App.tsx,/api/v1/demo-state,解释决策字段、提交前检查和 safe result view,Student-safe copy + BFF,initial/authenticated observed,observed,现状保留中英混排 debt，后续迁移统一简体中文
ENT-LOGICAL,Enterprise Course Factory & Sponsor,admin+teacher,none,logical workspace only,课程工厂与 Sponsor View（当前受限）,现有 Admin/Teacher CoursePackageVersion、Blueprint、Scenario readiness、D6 workbench,/api/v1/bff/admin/*; /api/v1/bff/teacher/*,在已有合同中编译企业课程并展示安全聚合价值,现有 tenant/teacher BFF；无 Enterprise authority,未有独立运行时页面,known-limit,不得新增第二业务引擎或伪造独立 Enterprise app
ADM-STATE,Admin Delivery & Trust,admin,/,authenticated workbench,管理员状态与租户目录,apps/admin/src/App.tsx; apps/admin/src/tenant-baseline-client.ts,/api/v1/admin/state; /api/v1/admin/users; /api/v1/admin/tenant-baselines/provision,查看/创建 tenant-scoped user 和基线,Admin API + tenant scope,authenticated; users/tenant counts observed,partial,用户创建与 tenant baseline 不是平台 Authority 扩张
TCH-RUN-CONTROLS,Teacher Course OS,teacher,/,authenticated workbench,M1 Run 与轮次控制,apps/teacher/src/App.tsx,/api/v1/courses/:courseId/runs; /api/v1/courses/:courseId/publish; /api/v1/runs/:runId/rounds/1/start; /lock; /settle; /publish,创建运行、开启/锁定/结算/发布回合,Teacher command + server state,initial/authenticated; not-created and round status observed,partial,旧 UI 直接包含 settle 分支；PR2 必须收敛到受控 BFF/command 边界
