matrix_id,workspace,app,browser_path,logical_route_or_bff,entry_owner,read_model_or_dto,allowed_action_source,loading,empty,partial,ready,blocked,stale,conflict,unknown,permission_denied,error,submitting,committed,reused,command_conflict,failed,evidence_level,notes
TCH-CLOSURE,Teacher Course OS,teacher,/,GET /api/v1/bff/teacher/teaching-closure,apps/teacher/src/TeachingClosureWorkspace.tsx,teaching closure projection,teacher command/action list,source loading,observed not loaded,source partial refs,source loaded when exact context,source not eligible,source stale context,source claim conflict,source unknown,source permission,source error,source claim command,source closure receipt,not captured,source conflict,source error,source+DOM,Teacher evidence and student-safe outcomes remain separate
TCH-EVIDENCE,Teacher Course OS,teacher,/,/api/v1/bff/teacher/evidence*,apps/teacher/src/EvidenceWorkbench.tsx,evidence + provenance DTO,teacher evidence actions,source loading,observed no eligible artifacts,source partial refs,source exact package ready,source eligibility block,observed scope changed/stale,source capture conflict,source unknown,source permission,source errors,source capture submit,source immutable artifact receipt,not captured,source duplicate/capture conflict,source error,source+DOM,Teacher-only evidence
TCH-CONFIRM,Teacher Course OS,teacher,/,/api/v1/bff/teacher/confirmations*,apps/teacher/src/TeacherConfirmationWorkbench.tsx,confirmation DTO,teacher confirmation actions,source loading,source no confirmation,source stale/partial,source exact refs ready,source claim block,observed STALE,source claim conflict,source Unknown,source permission,source errors,source confirm/reject/revise submit,source receipt,source idempotent claim path,source conflict,source error,source+DOM,Does not grade Student or mutate settlement
TCH-D5,Teacher Course OS,teacher,/,/api/v1/bff/teacher/learning-exports*,apps/teacher/src/D5ExportWorkbench.tsx,D5 list/preview/bundle DTO,server action list,source loading,observed no eligible report,source preview,source bundle ready,source eligibility block,not captured,not captured,not captured,source error,source seal/job submit,source receipt,source retry/cancel,source job conflict,source error,source+DOM,Scope differs from Admin even with shared family
TCH-REPORT,Teacher Course OS,teacher,/,/api/v1/bff/teacher/course-reports,apps/teacher/src/CourseReportBuilder.tsx,server-safe course report,server action list,source loading,observed empty form,source preview,source report ready,source permission/validation block,not captured,source query conflict,source unknown,source permission,source error,source preview/export submit,source export receipt,not captured,source error,source+DOM,No front-end calculation
TCH-D6,Teacher Course OS,teacher,/,/api/v1/bff/teacher/transfer-research-designs*,apps/teacher/src/features/transfer-research-workbench.tsx,D6 design/projection DTO,server action list,source loading,observed no frozen design,source synthetic preview,source synthetic ready,known limit,not captured,source revise conflict,known limit,source permission,source error,source create/freeze/retire submit,source version receipt,not captured,source conflict,source error,source+DOM,No real enterprise records
TCH-DESIGN,Teacher Course OS,teacher,/,/api/v1/bff/teacher/learning-designs; /course-blueprints*,apps/teacher/src/LearningDesignWorkbench.tsx; apps/teacher/src/scenario-readiness.ts,learning goal/rubric/blueprint DTO,server draft/publish actions,source loading,source empty draft,source partial references,source preview/ready,source readiness block,source stale version,source revision conflict,source unknown,source permission,source error,source draft/submit,source immutable version receipt,not captured,source revision conflict,source error,source+source,Versioned design; no hot replacement
TCH-ROLE,Teacher Course OS,teacher,/,/api/v1/bff/teacher/role-workflows*,apps/teacher/src/RoleWorkflowPanel.tsx,role workflow monitor DTO,role assignment/reset actions,source loading,source no assignment,source partial assignment,source assignment ready,source round block,source stale run,source assignment conflict,source unknown,source permission,source error,source assign/reset submit,source assignment receipt,source reset idempotence,source conflict,source error,source+DOM,Does not become Decision truth
TCH-INTEL,Teacher Course OS,teacher,/,/api/v1/bff/teacher/instructor-assets*; /instructor-debrief-artifact*,apps/teacher/src/InstructorIntelligencePanel.tsx,instructor asset/debrief DTO,teacher version actions,source loading,source no asset,source draft/partial,source published ready,source policy block,source stale version,source publish conflict,source unknown,source permission,source error,source draft/publish/reject submit,source version receipt,source export retry,source conflict,source error,source+DOM,Advisory/evidence context only
TCH-ADVISOR,Teacher Course OS,teacher,/,/api/v1/bff/teacher/advisors*,apps/teacher/src/TeacherDebriefAdvisor.tsx,CoachOutput/advisory DTO,advisory-only action,source loading,source waiting,source partial response,source advisory ready,source policy block,source stale input,source conflict audit,source unknown,source permission,source error,source request submit,source output/log receipt,not applicable,source audit conflict,source error,source+DOM,Never formal writer
STU-ROOT,Student Executive Environment,student,/,root App,apps/student/src/App.tsx,StudentBffCockpitDTO + P0 state,Student BFF allowed_actions,source loading,observed not-created/draft,observed pending BFF,observed authenticated ready,source team/round block,source stale result,source conflict path,source unknown,observed wrong-password,source API error,source decision submit,source result receipt,source idempotent command,source conflict,source error,source+runtime+DOM,No React Router; safe projection only
STU-COCKPIT,Student Executive Environment,student,/,GET /api/v1/bff/student/runs/:runId/rounds/:roundNo/cockpit,apps/student/src/App.tsx,StudentCockpitDTO,course:read; decision:submit; result:read,source loading,observed not-created,source pending BFF,observed ready,source round/permission block,source stale,source conflict,source unknown,source permission,source error,not applicable,source cockpit receipt,not applicable,not applicable,source error,source+runtime,Forbidden fields enforced by DTO
STU-GOLDEN,Student Executive Environment,student,/,GET /api/v1/bff/student/golden-journey/status,apps/student/src/GoldenJourneyWorkbench.tsx,student-safe journey status + receipts,view_context; view_allowed_actions; view_receipts; view_student_safe_report,source refresh,observed KNOWN_LIMIT slices,source partial receipt,observed ready,known limit,source stale journey,not captured,source unknown,source permission,source error,source refresh,source receipt,not applicable,source conflict,source error,source+runtime+DOM,Exact selection visible; private evidence hidden
STU-ROLE,Student Executive Environment,student,/,/api/v1/bff/student/role-workspace*,apps/student/src/StudentRoleWorkflowPanel.tsx,role section/ready/merge/confirm DTO,role section actions,source loading,observed waiting for assignment,source partial draft,source ready after assignment,source merge/team block,source stale run,source merge conflict,source unknown,source permission,source error,source section/ready/merge/confirm submit,source command receipt,source repeated merge path,source conflict,source error,source+DOM,Role draft cannot enter official settlement until merge+confirm
STU-ADVISOR,Student Executive Environment,student,/,POST /api/v1/bff/student/advisors/role,apps/student/src/StudentRoleAdvisor.tsx,advisory CoachOutput DTO,advisory-only request,source loading,observed waiting request,source partial response,source advisory ready,source role scope block,source stale context,source conflict audit,source unknown,source permission,source error,source advisor submit,source output/log receipt,not applicable,source audit conflict,source error,source+DOM,Current role scope only; no truth fields
STU-REPORT,Student Executive Environment,student,/,GET /api/v1/bff/student/learning-reports,apps/student/src/StudentLearningReport.tsx,LearningReportDTO,read-only projection action,source loading,observed empty report,source partial report,source confirmed report ready,source confirmation block,source stale evidence,source conflict,source unknown,source permission,source error,not applicable,source read receipt,not applicable,not applicable,source error,source+runtime+DOM,Teacher feedback only when student-visible
STU-DECISION,Student Executive Environment,student,/,POST /api/v1/runs/:runId/rounds/:roundNo/decisions,apps/student/src/App.tsx,DecisionFormDTO editable_fields,decision:submit from BFF,source loading,source draft/empty fields,source partial form,observed draft ready,source round not open block,source stale round,source canonical conflict,source unknown,source permission,source error,source submit path,source command receipt,source idempotency path,source conflict,source error,source+DOM,Must not bypass role workflow when active
ENT-LOGICAL,Enterprise Course Factory & Sponsor,admin+teacher,none,logical workspace only,existing Admin/Teacher package/blueprint/D6 components,existing Admin/Teacher BFF DTOs,existing server allowed_actions only,not implemented,not implemented,known contract gaps,not implemented,known limit,not implemented,not implemented,known limit,known limit,known limit,not applicable,not applicable,not applicable,not applicable,not applicable,source audit,No independent Enterprise route/BFF; do not invent authority
ADM-STATE,Admin Delivery & Trust,admin,/,GET /api/v1/admin/state,apps/admin/src/App.tsx,AdminState,tenant/user admin actions,source loading,source empty counts,source partial directory,observed authenticated,source tenant scope block,source stale,source conflict,source unknown,source permission,source error,source user provision submit,source audit/user receipt,not captured,source duplicate user conflict,source error,source+source+runtime,Admin state must stay tenant-scoped
ADM-USERS,Admin Delivery & Trust,admin,/,POST /api/v1/admin/users,apps/admin/src/App.tsx,User + tenant directory DTO,server tenant/user permissions,source loading,source empty user list,source partial form,observed users directory,source validation block,source stale tenant,source duplicate/conflict,source unknown,source permission,source error,source create submit,source user receipt,not captured,source conflict,source error,source+source+runtime,Credentials never stored in design artifacts
ADM-TENANT-BASELINE,Admin Delivery & Trust,admin,/,POST /api/v1/admin/tenant-baselines/provision,apps/admin/src/tenant-baseline-client.ts,Tenant baseline receipt,tenant baseline command,source loading,source no baseline,source partial,source ready receipt,source policy block,source stale,source conflict,source unknown,source permission,source error,source provision submit,source receipt,source idempotent provision,source conflict,source error,source,Provisioning cannot create platform or settlement authority
TCH-RUN-COMMANDS,Teacher Course OS,teacher,/,/api/v1/courses/:courseId/runs* and /api/v1/runs/:runId/rounds/1/{start|lock|settle|publish},apps/teacher/src/App.tsx,P0DemoState + SettlementResult,server round command permissions,source loading,observed no run/not-created,source waiting learner decision,observed draft/open/locked/settled branches,source round guard,source stale run,source API conflict,source unknown,source permission,source error,source start/lock/settle/publish submit,source notice/refresh,not captured,source error branch,source error,source+runtime,Existing direct settle call is a migration debt; PR1 adds no new writer and PR2 must move to controlled path
